Q	V	A	T	G
740	545	3	104	
790	435	4	106	
770	770	3.5		7.8
				
750	450	3	100	8.035
705	280		85	
740	545	4		8.7
690	395	2	89	7.733
770	465	4	105	
800	530	3	112	7.4
790	500	4	107	8.75
730	410	3.5	101	6.6
770	620		113	
760	515	3		7.7
800	500	4	113	8.83
				
720	450	4	110	6
760	430	3.5	111	7
485	290	2		
630	360	2.5	80	6.6
780	600	4	91	
			113	8.88
730	360	4	104	7.67
800	530	3	101	8.3
780	435	2.5	100	7.96
800	450	3	103	
730	360	3	86	6.5
				
665	340	3		7.7
790	560	3.5	106	8
				
790	360	3	96	7.4
680	330	3		6.8
800	560	4.5	112	8.4
665	380	2.5	79	
800	500	3	95	
800	380	3		7.6
770	605	4	113	9.07
720	290			8.1
575	280	2		6.72
790	420	3	106	7.71
			90	9.15
705	420	3.5	98	6.84
				8.62
720	280	2		
720	395	3	87	
770	485	3	98	
790	370	3	88	8.01
680	410	3	95	8.5
800	665	4	117	9.5
690	370	3	75	
790	310	3	99	8.192
730	435		93	
690	685	3.5	115	
720	600	3.5	115	
750	450	3	96	7.8
770	510	4.5		6.011
740	340			
770	380	2	84	
730	435		93	
800	550	4	109	6.816
	450	3	103	7
575	300			
790	420	3	94	6.817
750	420	3.5	105	7.348
770	340	3	85	8.145
705	380	3	90	7.5
770	635	4	117	6.2
730	280	2.5	81	
385	240		62	
730	320	3		6.8
770	560	4	108	7.8
780	480	3.5	112	7.58
				
680	330	3	83	7.73
			100	
790	575	4.5	117	8.875
780	500	3	103	7.4
				
750	485	4	107	8.1
440	590			7.5
630	370	3	80	
770	435	3	102	8
780	570	5	102	8.1
780	465	2.5	96	5.4
770	605	4	116	8.2
750	530	3	106	8.1
770	485	3	104	6.6
800	600	3.5	110	8.95
770	450	3	105	8
700	300	2.5	85	7.1
800	515	3.5	113	9.5
760	340	3	91	
760	435	3.5	102	8.375
630	300	2		7.2
				
790	410	4	101	6.2
740	485	3.5	107	8
				
705	370	3		6.1
				
770	420	4	107	8.3
				
800	730	4		6.4
730	450		109	7
				
770	465	3.5	111	7.5
720	450	3	90	6.4
760	545	3.5	100	7.9
			100	7.94
800	485	3.5	108	8.91
770	500	4.5	103	8.75
595	310	2		7.1
680	340	2.5	92	7.2
750	420	3	95	7.1
790	575	3.5	113	8.4
680	435	3	83	
				
750	340	3.5	96	7
770	395	3.5	97	8.63
770	450	3	100	6.35
				
770	340	3	86	
705	340	2.5		6.3
740	395	3	98	
760	530	4		9.7
760	435	3.5	106	7
800	485	4	101	7.83
770	520	3		6.89
				7.1
644	515	4	105	7.5
				
595	320	2		5.5
800	500	3.5	90	7.7
				
770	420	3	94	6.36
770	290	3.5	85	8.1
				
385	465	3	83	6.3
750	485	3	94	3.3
730	330	3		
790	605	4	103	5.86
800	650	5		7.6
780	500	3.5		7.2
740	340	3.5	96	8.5
790	545	4	110	5.657
				
760	310	2.5	83	6.8
800	515	4	110	7.8
770	320	3		
740	420	3.5		6.666
705	410	3		8
760	515	3	107	6.6
				7
				
760	545	3		7.5
690	360	2.5		
800	380	2.5	86	8.56
770	395	4	104	6.2
730	420	3	91	
780	340	3		6.538
780	605	4.5	112	8.08
780	420	3	93	6.3
705	360		88	6.8
298	380	3	88	6.53
770	370	3	99	7.5
750	320	3		8.49
630	270		70	
				
				
615	330	2.5		7.33
644	435	3		
780	670	3.5	109	6.3
665	370	3.5	95	8.4
770	530	4	110	7.6
665	395	3	97	6.7
800	515	3	110	8.54
800	545	3	105	
720	380	3	97	8.35
800	690	3.5	110	8.3
575	500	2.5		
800	420	3	94	8.8
630	330	3	82	7.83
			115	
660	790	3	100	9.125
				
286	280	2.5		
800	515	3	112	8.7
760	420	3	110	8.3
				7.1
				7.1
780	465	3	105	7.5
				
720	515	4	112	
800	500	3.5	107	8.5
690	465	3	105	7.3
				
770	465	4.5	106	8.1
780	435	4	109	5.82
705	605	3.2	114	6.9
780	485	3.5	105	
770	620	3.5	108	8.56
615	545	3	97	7.9
740	370	3	93	7.5
644	435	4	106	6
770	360	2.5	95	
760	590	3.5	113	8.7
				7.78
770	635	3	112	6.715
750	370	3	91	8.1
644	435	2.5		7.019
790	635	3.5	117	9.3
790	435	3	96	7.14
665	310	2.5	83	
780	515	3	98	
800	410	3.5	97	
760	370	2.5	84	7.58
				
770	605	4	105	6.8
644	360	2.5		6.2
730	420		101	9.65
705	360	2.5		7.3
760	435	3.5	110	8.9
760	370	3.5	113	6.4
800	485	4	111	5.8
800	575	4	109	8.29
750	330	3	94	9.275
760	380	2.5		7.7
730	380		94	8.87
705	450	3		6.7
				
790	435	4	114	7.2
665	300	2.5	79	
705	370	2.5	89	
740	420	3	97	7.6
800	630	4	120	6.667
	480	3	102	8
780	530	3.5	108	
306				6.6
770	370	3	94	8
770	380	3	92	8.1
510	300	2.5	79	6.6
740	410	3	91	
770	410	3	102	9.618
790	465	4.5	109	8.75
780	435	3.5	96	7.59
730	340	2	85	6.67
780	530	3.5	103	5.74
740	320	2	88	8.2
294				
644	290	3.5		7.6
750	380	3	100	7
				
770	620	3.5	108	8.53
				
770	560	4	111	8.54
730	395	4		6
800	380	2.5	90	7.34
770	650	4	112	7.2
740	395	3	109	
644	310	3	83	6
730	410	3	94	
				
				9.7
800	575	3.5	104	
770	330			6.875
730	380	3	108	7.8
				
690	330	3	91	6.5
328	635	3.5	115	7.7
790	380	2.5	95	7.95
				
				
740	340	3	84	
				7.33
790	380	3.5	97	
690	320	3	91	7.5
800	560	3.5	109	7.6
730	420	4	99	9
740	280	3		
770	530	4	113	
705	435		96	7.5
750	320	2.5		7
800	580	5	117	9
740	395	3.5	93	6
				
				
710	440			7.6
				
705	280	3	87	6.1
				
720	435	3	83	7.8
800	560	3	104	
			98	7.91
705	340	3		7
				
800	560	4	112	9.1
				
555	260	3		5.97
770	435	3	88	
575	280	2.5	79	
730	370	3	83	8.5
690	370	2.5	71	
				
780	350	4.5	100	
780	360	3.5	95	6.6
780	485	3.5	94	8.2
690	500	3	102	
770	330			8.85
630	370	2.5	80	8.2
705	530			
	390			
800	620	4.5	115	8.79
720	590	4	109	5.8
				
690	360	2.5	79	
790	545	3	106	7.56
690	330	3	91	6.38
780	530	3.5	112	7.7
				
410	330			
				7.2
720	410	3.5	109	8.1
				
690	360	3		7.3
630	450	3	90	
760	360	3.5	96	
			110	6.2
				7.4
780	435	3	101	6.905
800	330	3	93	8.4
760	380	3	105	6.683
790	550		105	7.9
770	380	3		
800	490		103	6.1
440	620	2	79	6.4
				
800	620	2.5	97	8.13
				
720	380	3	91	
780	360	3		8.1
780	330	3	88	7.76
790	500	4	107	8.75
			87	
				
740	450			6.97
790	450	3	98	7.6
				
770	605	3	96	9
720	390	2.5	99	
595	340	3	86	8.15
				8.4
665	605	3.5		6.5
780	350	4	99	
				
800	550	4.5	105	
				
800	450	3.5	105	7.074
720	450		105	7.5
				
575	725	3.5		
690	300	2		
				
740	410	3	96	9.51
800	240	2.5	90	
705	435	3		6.35
				
720	340	2.5	98	8
				
				7.262
740	450	3	106	8.3
690	320	2.5		6.21
690	485	3	104	
720	340	3.5	95	7.3
740	300			6.5
780	665	4	113	
				
730	410	3	98	8.2
644	485	3.5	111	
720	280	2.5		6.645
705	370	3	89	
790	450	3.5	101	6.607
				
730	360	3	93	7.8
740	290	2	63	6.41
740	545	3.5	109	5.5
				
680	270	2.5		
630	360	2.5	83	5.5
760	320	2.5	84	6.747
				
705	485	3.5	91	8.34
770	395	3	98	8
720	390		91	8.86
790	500	4	106	
730	460	3		6.97
			111	
800	395	3	99	6.917
770	320	2.5		8.01
644	300	2		
780	570	5	97	8.1
644	280			7.21
			104	7.55
690	310	2.5		
730	395	3.5	98	6.34
740	370	3	82	6.7
790	290	3		6.648
720	410	4	92	8.1
740	580			7.525
294	320	2	80	6.8
665	435	3	107	
595	330	3	89	
780	450	3	98	7.5
				
770	410	3	111	
790	610	4		7.7
		3		
284				
800	550	4	101	6.172
575	410	3	101	7.02
				
705	370	3.5	100	
				
740	410	3.5	90	7.1
690	280	2	93	8.775
				7.1
790	620	4	104	7.3
				
760	360	3	90	
				7.8
750	360	3	96	6.892
630	450			
575	250	2		7
				
690	540	4		6.6
644	310	2.5		6.9
575	320	3	97	6.486
630	380	2.5		7.12
				8.1
				
730	380	3.5	84	
770	420	3.5	102	
				6.51
555	380	3	80	6.3
780	660	4		6.2
760	280	2.5	81	5.7
790	490			
800	530	5	112	
				
665	450	3.5	106	
780	530	3.5	100	9.09
770	590	4		7.3
640	560	4	114	5.2
665	310	2	76	7
760	530	3.5	108	
				
				
790	380	3	90	7.5
				
			101	10
				
790	800	4.5		7.62
				
750	515	3.5		6.9
				
720	400		114	6.5
760	680	4	99	8
740	610	5		
750	450	4	105	7.3
770	575	4	114	6.55
760	520	3.5	101	6.3
				
780	590	4	112	7.669
720	330	3.5		
730	370	3		
665	380	2	79	7.019
				8.675
800	540			5.9
660	330	2.5		
				
465	330	1.5		7.95
				
800	560	4		6.2
300			90	8.75
				
740	530	3	112	
800	390	3	89	7
				7.5
690	340	2.5	84	7.8
770	370	3	87	7.4
800	580	4		6
770	435	3	103	8.68
				
770	395	3	91	6.1
790	395	3.5	102	8.2
385	410	2		
770	465	3	109	8
730	435	3.5	110	
				8.87
770	380	3.5	103	7.88
780	640	5		5.729
770	450	3	97	8.9
760	320	3		
705	310	2		6.5
770	370	3.5	96	6.7
720	290	2	65	6.366
768	342	3.5	86	7
760	465	3.5	110	6.8
				
690	435	3.5	100	
740	560		91	7.3
550	440	3		
630	450	3	95	
285	380	2.5	90	
				6.6
540	620	3.5		
760	515	3	92	
770	410	2.5	100	
730	435			7.07
790	350		93	7.5
800	480	4	115	8.82
				
			86	
				
				5.2
280	680	3		5.436
690	330	3	91	5.7
				
				5.1
780	550	3.5	106	7
800	470	4	97	8.2
				
410	430	2.5		
				
720	530		107	7.2
595	530	2.5		
760	350	3.5		7.1
770	435			
				7.1
800	620	3	111	7.1
800	600	4.5		7.2
780	500	4	85	
720	280	2	80	7.43
760	750	5	119	6.9
				6.7
				
800	395	3	101	6.7
750	310	3		6.5
				9.12
				
800	500	5	117	9.5
710	300	3.5		
800	400	3	99	
780	760	4.5	113	7.4
705	320	1.5	82	
760	420	3.5	108	
				6.6
740	630		107	6.2
770	350	3.5	102	6.8
740	520	3	100	7.9
780	660	4		6.1
800	640	4.5	109	6.6
790	600	4		
790	470	3		5.5
710	530			
680	300	3	80	5.9
800	670	4		8.15
				
790	430			7.1
800	290	2.5		6.8
780	370		107	
730	590	4		6.6
790	540	4	105	6.9
780	630	3	100	5.65
780	380	4	100	7.7
720	340		81	
800	620	4.5	113	
800	600		109	8.575
730	330	3		5.8
740	410	2.5		5.8
740	410	4		7.019
750	520		114	7.5
				8
720	580			6.922
				
770	760	4	100	6.3
800	580	4	107	
780	650	4.5		7.8
800	580	4	112	5.7
780	370	3	104	7.7
770	760	4	114	
740	520	3.5	106	7.9
720	430		101	6.5
670	420	3.5		
720	340		93	6.1
770	330	3.5		
740	390	3.5	101	7.7
800	380	3.5	89	7.1
760	520	4	110	8.81
800	320	3		6.3
780	540	3.5	105	6.6
550	440	3		5.7
800	590	4	112	6.2
660	280	3	87	
700	400			8.225
740	540		112	7.909
790	560			7.3
780	310			9.95
720	580	3.5		8.4
790	540	3.5	112	7.4
780	380	4		
770	370	3.5	92	6.5
790	380	3.5		6.975
770	600	4.5	112	7.1
780	440		109	6.1
650	410		104	
770	370		105	8.6
				6
750	280	3	83	
730	660	5		6.827
750	300	2.5	82	6.5
760	510	3	87	8.025
760	600	5.5		
770	470	4	107	7.6
770	550	3.5	81	6.5
690	330	3		8
790	410		97	5.9
770	470	5	114	5.8
800	630	3.5	108	8.08
770	430	3.5		7
780	600			6.951
750	300	3	75	8.83
730	300	4.5	80	8.346
710	540	4		5.85
700	350	3.5	104	6.1
770	510		97	6.3
680	550			8
800	680	5	113	7.088
800	670	4		7.44
710	510	4	104	6.5
710	280	3	92	8
800	630	5.5		7.3
800	590	4		7.6
800	650	4	110	7.01
720	270	3	85	7
				9.7
300	730	2	73	5.9
800	390	3	100	5.5
790	460	5		6
				
				
670	540		99	5
800	330	3	107	7.1
800	640	4	116	8.85
700	370	3.5	110	7.56
800	550	4.5		6.7
800	590	3.5	106	7.85
780	620	3.5		
800	590	4	100	7.6
790	340	2.5		7.25
310	510	2.5	70	7.2
760	420	3	102	
800	580			9.81
630	340	3.5		
750	550	2	75	
780	510		96	9.4
760	400			
710	380	4	108	
690	450	4	106	8.45
780	640	4.5		6.2
700	500	3.5	90	
780	670	3.5		6.4
320	740	3	100	
730	380	4		6.051
800	350	2.5	86	8.92
720	340	3.5	84	5.5
740	260	2.5	72	6.2
780	600	5		8
800	530	3.5	96	7.34
670	280	2.5	55	6.3
790	460	4.5		5.7
800	680	5		8.7
740	440		90	
800	570	4.5	108	5.575
740	510	3	101	7.8
710	360	3.5		
770	550		102	7.6
800	430	3.5	97	6.43
740	680	4.5	113	6.2
710	540	4		5.85
800	540	3.5		7
				
				6.2
800	720	4	115	8.32
720	310	2	85	
				6.8
720	440	3.5	94	8
				
760	450	3	111	7.2
750	520	5	114	7.6
800	520	5		6.2
800	410	4	105	5.9
740	650	3	106	8.64
790	690	3.5	106	7.36
790	590	3	107	7
700	340	3.5		
790	410	4	106	7.403
790	490	4		7.9
				7.92
770	570	4.5		9.3
740	410	3.5		7
	400	3.5		7.01
660	600		110	7.635
710	300	3	79	7.56
680	590	3.5	100	8.5
				
790	480	4.5		7.7
				
780	600	3.5	105	8.4
800	620			7.15
780	410	4	102	7.9
770	660	4	105	6.4
720	600	3	113	
690	340	4		7.75
760	570	3.5	99	8.14
750	550	4.5	113	7.34
730	380	3		7.1
730	400			6.01
			82	
750	550	5		
				
790	340	3.5	90	6.485
700	600	4		
790	430			7.3
690	340	2.5		6.073
800	590	4.5		6.31
				7
770	570	4.5	114	8.2
700	300		100	
				6.84
770	600	4	90	6
750	470	4.5		8.27
800	320			6.788
800	630	4.5		7.096
800	500	4.5	108	8.9
800	520			7.7
				7.2
660	280	3		
770	490	5		9.3
790	590	4	111	8.5
790	490	3.5	94	7.033
790	440	4.5	110	7.7
800	520	3.5	100	9
				
750	490	3.5		6.4
800	540	4	111	8
730	580			8.1
760	460	4	115	5.9
700	580	4.5		6.6
800	520			6.7
770	670	6		8
770	500	3.5	94	9.83
710	440			6
600	360	3		6
790	690	5		7
730	350	3		8.1
800	520			7
790	380	5	102	7.8
650	570	3	108	8
730	540	5.5		
710	360			
800	390	3.5	105	6.3
760	630	3	103	6.6
800	490	3.5	107	7.3
800	310	4		8.238
740	600	4.5	115	7.5
580	450	3		
730	540	4	101	7.9
770	250	3.5	85	8.3
800	550	4.5	109	7.2
720	380			8.3
790	410			
660	520	3.5	98	6.377
750	460			7.4
710	460			
				
730	430		109	7.56
				8.4
780	590	5	113	8.4
710	290	2	60	9.17
740	460	3	100	6.3
800	560			
760	670	4		8.1
770	530	4	113	6.6
690	500			6.7
790	470	4.5	112	6.8
760	430	4.5		
780	420	3.5		8.67
720	690	4.5	112	6.2
760	310	3	85	6.5
790	700	4.5		6.1
800	370			6.9
780	600	3	110	6.5
800	740	3.5	108	7
750	360			8.6
800	580		110	7.188
800	520	4	109	8.66
700	560	3		5.65
640	320	3.5	97	5.98
	420	3		
710	550	4		6.8
770	420	3.5	89	8.075
690	710	5		6.08
730	490	3	112	5.8
770	450	4.5		7.5
700	350	4	96	
730	590	3	95	6.8
800	590	3	101	
800	570	4.5	105	7.1
730	320	5		
770	520		85	7.188
670	450			7.78
730	570	3.5	109	6.8
790	690	4	111	5.92
780	540	4		7.2
560	300	2.5		
770	610	4.5	110	9.8
530	370	2	95	
740	520	4	103	7.93
720	440	2	93	
640	540	2.5	106	7.7
680				
				
780	430	4	105	7.52
740	380	3.5	95	7.6
800	580	4	111	8.1825
760	470	2.5	93	7.8
750	570	3	102	6.62
720	590	4	112	7.89
720		2.5	96	
720	370			6.9
770	540	4	106	6.7
740	450	2.5	85	5.8
780	520			6.1
400	700		80	
800	710	3		7.2
720	320	3		
770	550	3.5		
800	440	3.5		6
740	310	4	95	
700	590			7.3
800	650	4.5	117	8.88
710	360	2.5	91	6.5
730	560	3	98	7.2
790	700	4		
	430		98	6.7
800	320	3.5	105	7.5
750	450	4	105	7.456
				
800	650	4	111	7.9
790	410	4	109	7.49
770	580			5.95
780	680	4	110	6.7
720	550	3	106	6.75
770	560	4.5	116	7.7
740	470	3		8.4
690	360	3.5	94	7
730	380	4		6.346
560	300	3	79	6
800	680	4.5	106	8.66
780	450	3	100	8.11
770	450	3	110	7
800	320	3.5	110	7.8
790	720	5		6.94
				6.9
720	320	3	103	7.48
740	380	3	98	6.2
				
800	550	4.5	114	8.865
790	480	4.5	101	8.8
750	570	3.5	111	6.18
800	560	4.5		6.5
760	540	5.2	110	7.352
				7.9
800	340	3.5	106	8.12
				7.5
				
780	720	4.5		8
690	520	4.5		
700	570	4.5		8.4
730	450			
800	540	3.5	113	8.3
				
750	350	3	109	7.2
760	500	5		9
700	530	3		7.5
				5.8
790	575			8.8
710	390	3	105	7.4
800	570	3	111	7.6
800	660	5		6.8
				8.375
750	380	2.5	88	7.6
790	510	3.5	110	9.3
750	310	2.5	82	7
750	600	4.5	115	9.12
760	380	3.5	95	6.6
620	230	3	92	
780	570	3		7
670	510	4		6.538
				
800	580	3	112	8.34
780	360	3.5	100	6.5
				8.3
				6.346
780	520	4.5	110	8.5
770	480		100	8.125
730	550	3.5	112	
740	330		79	6.4
750	430	4	105	8.3
720	760	4.5		7.6
770	640			7.1
790	670			
790	570			9.1
800	510			
790	640	4.5		6.97
800	510	4	105	8.51
800	730			7.7
800	600	4	103	7.2
760	460		103	7.9
750	470	3	100	6
800	630	5.5		7.08
800	600	4	113	9.15
740	420			
720	630	3	107	8.22
710	310	3	94	6.4
790	560	4		7.33
710	330	3		
800	480	3.5		8.08
730	510	4	110	6.3
740	460	3.5	99	6.9
				
790	570	3	108	6.5
780	500			6.8
800	740	4.5		7.291
720	420	3.5		6.44
700	300			
800	570	3.5		
800	580	4	107	8.72
780	480	4	102	7.4
750	580		110	7.2
800	660	4	115	8.7
750	500		104	8.825
				7.7
760	560	3	99	7.926
700	260		77	7.07
800	600	3.5	106	8
770	720		110	6.123
800	450			8.47
710	390	3.5	93	8.5
740	420	3.5	103	8.45
				
720	370		87	6.9
800	510	3	94	6.8
800	330	3	98	8.35
690	510		104	8
			107	7.56
780	400	4		6.2
720	350	3.5	95	7.56
800	390	4	114	6.465
770	330	2.5	90	
800	740	5.5		6
800	530		98	8
790	310	3	98	6.36
800	470	4.5	108	6.035
680	380	3	89	5.3
660	290	4.5	97	6.3
730	510	4	95	7.5
790	680	5		6.6
740	630	4	110	6.642
730	510	4	95	7.5
740	310	3	85	6.8
800	480	4		7.3
800	450	3	103	6.3
650	540		85	
730	300	3	85	
740	300	3	86	7.9
710	570	4	110	
750	580	3.5		7.1
770	400	3.5	102	8.1
700	310	3	80	6.727
770	590		105	7.3
720	550	4.5	116	8.1
630	280	2.5		7.25
770	690	4.5	110	9.25
640	320	3	83	5.4
800	610	3.5	117	7
				
790	600	3.5	104	8.14
750	290	3.5	95	6.7
800	680	5	116	6.74
770	310	3	94	
750	600	4	106	5.2
800	600	4		7.59
800	660	4	115	8.7
720	580	3.5	97	8.4
				
770	470	3	105	6.5
700	390	4	103	6
800	560	3	87	
800	590	4	100	8.28
800	700	4.5	105	7.5
710	580	3	102	6.6
720	480	2.5	96	6.8
790	540	3.5	106	8.5
800	450	3.5	97	7.98
800	610	3.5	113	8.89
710	430	3	95	7
800	700	5	105	
800	640	4.5		7.8
760	490	4	90	8.2
800	470		102	7.84
780	420	3.5	99	7.8
730	600	3		6.5
620	270	2	95	
760	270		81	8.2
760	270		81	8.2
780	340	3	93	7.2
690	590			6.166
800	630	4	110	
				
750	640	4		6
780	540	4	115	9.61
770	600	3	104	7.311
800	740	5	117	9.3
780	620	3.5	103	7.6
800	710	3.5	101	6.28
780	550	4.5	107	7.14
800	700	4	112	6.1
790	510	3	91	6.1
790	530	4	105	8.66
800	520	3.5	106	6.1
780	480	3	101	6
720	680	3	106	6.72
800	530	4	108	8.1
800	520	4	106	7.92
740	330	3	94	7
800	510	3	103	7.18
770	550		112	7.556
790	550	4	103	7
790	670	3	103	9.03
760	570	3	108	7.8
800	600	4		7.6
800	620	4	103	6.81
			110	8.1
790	510			8.32
720	400	4	100	7.7
770	600	4	104	7.1
790	400	3.5	100	7.6
680	490	3	93	8.69
				7.54
730	460	5		6
740	510	3.5	100	8.94
790	450	3	100	6.7
690	400			7
660	420	3	81	7.3
790	600	4	109	6.2
800	610	3.5	106	7.41
770	480	3	101	8.5
	360		85	6.4
800	400	5.5		9.5
800	510	3.5	104	7.4
780	520	3		5.3
800	700		110	7.52
750	450	3.5	100	8.2
760	660		110	6.428
800	460	4	108	7.7
800	750	5		6.3
780	580			
800	540	3.5	101	8.06875
800	430	3.5	96	7.6
800	580			
780	670	4.5	112	6.2
760	530	3.5	101	7.7
740	600	3	89	6.6
800	470	4	109	8.71
800	640	4	114	8.03
800	570	4		
780	580	4	110	8.39
670	450	3	95	6.13
800	550	4	107	7.09
770	440	4	101	6.66
780	670	4.5	112	6.2
800	700	5.5		6.4
720	310	3	91	7.2
800	410			8.1
800	680	5	116	6.74
800	690	5	117	7.52
800	550	3.5	113	7.6
760	620	5	119	6.2
800	590	4	115	8.32
780	520	3.5	91	6.7
790	660	4.5	109	9.33
740	470	4		6.5
780	550	4.5	103	9.29
800	640	3	115	7.9
800	790	5	119	7.8
760	540	3.5	102	8.4
790	730	3.5	110	
780	490	4	100	8.7
				
680	430	3.5	102	6.3
770	570	3	100	8.44
800	710			6.3
800	710	4	117	7.92
800	620	3.5	108	8.64
670	460			8
				
700	410		94	5.85
790	580	4	113	8.1
780	390	4.5	112	9.4
800	600	4.5	99	8.1
790	560	4		8.46
790	700	5	119	7.25
780	520	5	106	8.33
720	380	3.5	109	7.3
800	790			7.4
				7.84
750	370	3	98	7.967
790	530	4	113	7.455
	790			8.19
800	720	4.5		6.5
760	430	3.5	112	6.779
700	560		109	7.4
730	330	3		7.4
780	550	5.5		6.6
800	590	4	111	8.7
750	630	4	103	5.7
				
760	540	5	110	8.14
790	580	3.5	114	8.09
770	660	4	110	7.6
800	500	3	103	8.98
800	680	3.5	111	8.74
780	610	4	108	6.956
760	620	4	116	6.671
750	310	3	97	6.15
780	520	3	98	7.531
800	500	5		8.43
740	550	4	109	7.8
750	570	3.5	111	6.3
800	550	3.5	111	7.7
760	390			
800	680	5	111	9.48
800	600	4	117	8.3
				
780	350	3	82	6
				7.6
790	580	5.5	115	7.8
730	430	4	91	
800	640	4.5	107	8.1
760	460	3.5	102	8.61
740	530	4	110	5.95
800	620	4	117	8.4
780	490	3.5		9.05
800	510	3	100	7
800	530		116	7.1
760	400	3	89	8.04
640	340	3	86	5.5
700	340			8.2
800	720	4		7.5
720	560	3.5	105	6.6
770	690	3	104	6.35
730	640	4		8.23
800	570	4.5	116	7.295
790	380	3.5	101	7.616
800	700	5.5		6.4
780	420	3	91	
790	480	4.5	113	6.7
780	330	3	90	6.2
730	560	4	108	7.6
770	430			7
770	430	3.5	107	6.734
760	610	4	107	8.76
730	380		100	7.09
800	650		116	7.78
760	670	3	115	8
800	500	3		8.98
760	580	3	107	7
780	310		100	
740	520	4.5	115	8.28
780	420	3.5	87	6.6
800	540	4	111	8.66
780	450	3		6.3
770	610	4		8.79
730	480	3		8.1
740	410	4		7.2
670	510	4.5		8.24
790	470	4	103	7.03
790	380	3.5	102	7.6
800	730			7.88
770	610	3.5	109	8.265
720	470	5	102	7
800	730	4	115	7.88
770	410	3.5		6.4
770	700	4	119	7.5
800	600			7.5
800	580	3	112	7.738
770	690	4.5	115	7.4
800	670	4.5		9.625
			107	8.023
670	280	2.5		6.6
800	400		91	7.59
790	550	3.5	111	7.56
790	660	4.5	116	6.8
770	550	3.5	105	8.181
710	550	3.5	96	8.93
800	320	2.5	104	7.4
800	520	3.5	94	8
800	580	3.5		7.659
740	740	4.5	116	7.96
800	590	3	105	7.2
760	620	3	96	8.067
				
730	320	3	86	6.9
510	320	2.5		6.6
730	410	4.5	104	7.8
780	560	3.5	103	8.05
750	440			7.5
790	610	3.5	99	8.5
800	640	4.5	116	7.7
750	700	4	110	7.9
800	570	3.5	99	7.1
770	580	3.5	96	6.3
740	400			7.3
740	450	4	102	5.94
700	320	2.5	97	6.9
800	480	3.5	106	7.35
780	570	4	108	8.24
800	510	3.5	112	8.33
800	570	4.5	115	8.47
800	650	4	106	8.68
		4		8.71
770	485			8.2
640	390			7.4
770	420	3.5	106	7.1
720	350	4	108	7.43
800	550	4	107	7.09
760	620	3	96	8.1
780	700	3.5	103	8
800	640	3.5	107	8.2
760	570	4	107	7
760	310	2	100	
800	690	4	113	7.4
740	590	4.5	110	8.667
780	650	4.5	116	7.92
790	490	4		6.98
750	550			8.5
750	550	3.5	109	7
740	540		94	7.4
790	600	3.5		8.14
740	620	4		7.132
740	630	3	104	8.575
780	500			6.5
770	530	3.5	106	9.32
760	570	3	110	6.79
800	580		105	7.5
770	500	3	95	8.9
620	570	4	57	8.3
640	790	5	110	8.143
730	520			8.2
800	370			7.4
800	620	3.5	101	7
800	460	3.5	113	8.41
790	440	3	93	7.8
790	660	4.5	116	8.21
730	470	4	99	7.4
800	650	4	117	8.47
800	570	3	110	9.13
780	650	3	108	7.7
710	480	3.5		5.7
750	470	3	92	8.76
800	650	4.5	116	8.5
780	590	3.5	112	7.62
780	540	3.5	96	7.352
790	550	4	95	6.8
				
710	500	3.5	96	5.785
780	620	4	116	8.198
780	360	3.5	90	
760	520	3.5	110	6
720	360	3	79	7.5
750	630	4	111	8.125
760	590	4.5	107	7.04
750	510	4	111	6.23
780	430			6.3
700	310	2.5	78	8.5
780	690	3.5	115	8.05
780	480	3.5	99	7.4
750	450	3.5	101	
800	640	3	106	7.2
770	410	3.5	111	6.4
800	590	4		7.6
800	610	3.5	107	8.5
780	600	3	105	7
800	470	4		6.25
750	340	3	96	8.8
780	710	4	119	6.6
800	480	3.5	106	8.78
740	450	3	96	8.4
				8.8
710	430	3	103	6.7
780	570	3	110	7.82
790	550	2.5	90	7.3
800	420	3		
770	610	4	112	7.02
770	580			6.3
770	510		94	6.1
800	530	3.5	109	6.7
770	530	3.5		6.8
660	420	3	81	
800	690	4.5	113	9.48
790	670	4		8.58
800	520	3.5	100	6.71
790	730	4.5	116	6.7
770	550	2.5	94	8.6
790	580	3	106	8.3
780	610	3.5		7.56
690	370	2.5		7.6
790	640	4.5	109	7.4
740	530			6.9
790	620	3.5	105	7.5
440	800	3.5	98	7.8
740	530			7
800	660	4.5	107	7.3
800	680		113	8
800	590	4		8.78
790	500	4.5	113	6.4
800	720	3	111	7.23
800	670	3	114	6.8
700	420			5.267
800	630		115	
760	630	3.5	103	7.3
690	340	4	109	5.5
800	680	3.5	101	7
780	570	3	97	6.6
650	320	3	113	7.2
780	550	4.5	106	9.5
800	700	4.5	109	7.99
720	580			6.55
800	520	3	94	7.86
590	290			6.85
790	550			8.6
800	500	4	109	9.25
770	570	3	103	7.4
780	530	3	104	9.2
790	400	3	85	6.75
800	710		103	9
800	720	4	115	8.3
780	570	3	102	7.4
750	520	3	110	6
710	320	2.5	91	8.26
760	340	3.5	96	6.8
720	660	4	107	7.5
790	430	3	106	7.7
770	650	4	110	9.19
				
800	460	3	106	7.7
780	670	5		8.3
770	640	3.5		9.25
610	310	3		5.513
720	410	3.5	101	7.8
760	530			6.9
				
710	490	3	106	5.8
800	660	4	114	8.775
800	580	3.5	106	8.9
800	390	4	94	8.18
800	470	3.5		6.5
770	550	3	105	7.6
