University of Southern California;|
Columbia University;Georgia Institute of Technology;North Carolina State University;Ohio State University Columbus;Princeton University;Purdue University;Rice University;Stanford University;Texas A&M University College Station;University of California San Diego;University of California Santa Barbara;University of Maryland College Park;University of Minnesota Twin Cities;University of Texas Austin;University of Wisconsin Madison;|
|
University of Texas Arlington;|
|
University of Florida;University of Texas Dallas;|
Purdue University;University of California Los Angeles;University of California Santa Barbara;University of Southern California;University of Wisconsin Madison;|
Arizona State University;Boston University;California State University Bakersfield;California State University Channel Islands;California State University Chico;California State University Dominguez Hills;California State University East Bay;California State University Fresno;California State University Fullerton;California State University Long Beach;California State University Los Angeles;California State University Monterey Bay;California State University Northridge;California State University Sacramento;California State University San Bernardino;California State University San Marcos;California State University Stanislaus;Georgia Institute of Technology;Iowa State University;Ohio State University Columbus;Rutgers University New Brunswick/Piscataway;San Diego State University;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of California Davis;University of California Irvine;University of California Merced;University of California Riverside;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of California Santa Cruz;University of Colorado Boulder;University of Florida;University of Illinois Chicago;University of Iowa;University of Massachusetts Amherst;University of North Carolina Chapel Hill;University of North Texas;University of South Carolina;University of Southern California;University of Texas Arlington;University of Texas Austin;University of Texas Dallas;University of Wisconsin Madison;Virginia State University;|
North Carolina State University;University of Florida;University of Minnesota Twin Cities;Texas A&M University College Station;University of Colorado Boulder;University of Massachusetts Amherst;University of Texas Austin;|North Carolina State University;University of Florida;University of Minnesota Twin Cities;
California Institute of Technology;Carnegie Mellon University;Georgia Institute of Technology;Massachusetts Institute of Technology;Purdue University;Stanford University;University of California Berkeley;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Illinois Urbana-Champaign;University of Maryland College Park;University of Michigan Ann Arbor;University of Texas Austin;University of Wisconsin Madison;|
Portland State University;University of North Texas;Utah State University;University of Texas Dallas;|Portland State University;University of North Texas;Utah State University;
University of Texas Dallas;Columbia University;Cornell University;Georgia Institute of Technology;Iowa State University;North Carolina State University;SUNY Stony Brook;University of California San Diego;University of Pennsylvania;University of Southern California;|University of Texas Dallas;
