University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
California State University Chico;San Jose State University;SUNY Buffalo;University of Houston Clear Lake;University of Texas Dallas;|California State University Chico;San Jose State University;SUNY Buffalo;University of Houston Clear Lake;University of Texas Dallas;
Northeastern University;New Jersey Institute of Technology;Syracuse University;Texas Tech University;University of Arizona;University of North Carolina Charlotte;|New Jersey Institute of Technology;Syracuse University;Texas Tech University;University of Arizona;University of North Carolina Charlotte;
Indiana University-Bloomington;University of Texas Dallas;|
"New York University;Northeastern University;SUNY Buffalo;Syracuse University;submitted application on 24th Nov | packets reached by 15 Dec.;University of Illinois Chicago;University of Texas Dallas;"|"New York University;Northeastern University;SUNY Buffalo;Syracuse University;submitted application on 24th Nov | packets reached by 15 Dec.;University of Illinois Chicago;University of Texas Dallas;"
Carnegie Mellon University;Indiana University-Bloomington;SUNY Buffalo;;Syracuse University;University of Arizona;University of Cincinnati;University of Illinois Chicago;Duke University;New York University;Texas A&M University College Station;|Carnegie Mellon University;Indiana University-Bloomington;SUNY Buffalo;;Syracuse University;University of Arizona;University of Cincinnati;University of Illinois Chicago;
|
Carnegie Mellon University;New York University;Santa Clara University;Syracuse University;University of California Berkeley;|
George Mason University;University of South Florida;Clemson University;Indiana University-Bloomington;North Carolina State University;Syracuse University;Virginia Polytechnic Institute and State University;|University of South Florida;
University of Arizona;University of Texas Dallas;Northeastern University;University of Illinois Chicago;|University of Arizona;University of Texas Dallas;
California State University Los Angeles;Ohio State University Columbus;University of California Los Angeles;University of Cincinnati;University of Maryland College Park;|
City University of New York Baruch College;Rutgers University New Brunswick/Piscataway;Polytechnic University of New York;Stevens Institute of Technology;|Polytechnic University of New York;Stevens Institute of Technology;
Carnegie Mellon University;Drexel University;Fairleigh Dickinson University;Kings College;Lincoln University;Marymount College;New Jersey Institute of Technology;New York Institute of Technology;New York University;Philadelphia University;Rutgers University;Rutgers University Newark;Salisbury University;Seattle Pacific University;Syracuse University;Thomas Edison State College;University of Delaware;University of Rochester;University of Wisconsin;Washington State University;|
Indiana University-Bloomington;SUNY Buffalo;Texas A&M University College Station;|
|
Georgia State University;Oklahoma State University Stillwater;University of Illinois Chicago;University of Texas Dallas;University of Arizona;University of South Florida;|University of Arizona;University of South Florida;
|
Carnegie Mellon University;Illinois Institute of Technology;SUNY Buffalo;Texas A&M University College Station;University of Cincinnati;University of Maryland College Park;University of Arizona;|University of Arizona;
University of Arizona;Utah State University;Syracuse University;|University of Arizona;Utah State University;
Carnegie Mellon University;University of Arizona;University of Cincinnati;University of Maryland College Park;|Carnegie Mellon University;University of Arizona;University of Cincinnati;University of Maryland College Park;
Syracuse University;University of Arizona;University of Illinois Chicago;University of Maryland Baltimore;Texas A&M University College Station;|Syracuse University;University of Arizona;University of Illinois Chicago;University of Maryland Baltimore;
|
Georgia State University;Northeastern University;University of South Florida;Bentley College;SUNY Buffalo;Texas A&M University College Station;|Northeastern University;University of South Florida;
University of Illinois Chicago;|
University of Arizona;|
New York University;Rochester Institute of Technology;SUNY Buffalo;University of North Carolina Chapel Hill;|
Syracuse University;University of Arizona;University of Florida;University of Illinois Chicago;University of Texas Dallas;|Syracuse University;University of Arizona;University of Florida;University of Illinois Chicago;University of Texas Dallas;
Carnegie Mellon University;Syracuse University;University of Arizona;University of Cincinnati;University of Florida;University of Illinois Chicago;University of Maryland College Park;University of Texas Dallas;Texas A&M University College Station;|Carnegie Mellon University;Syracuse University;University of Arizona;University of Cincinnati;University of Florida;University of Illinois Chicago;University of Maryland College Park;University of Texas Dallas;
University of Illinois Chicago;|University of Illinois Chicago;
Carnegie Mellon University;Indiana University-Bloomington;Texas A&M University College Station;University of Arizona;|
Northeastern University;Oklahoma State University Stillwater;University of Texas Dallas;University of Utah;|Northeastern University;Oklahoma State University Stillwater;University of Texas Dallas;University of Utah;
New York University;Stevens Institute of Technology;Syracuse University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of Maryland College Park;University of Texas Dallas;|
|
|
|
|
Georgia State University;Oklahoma State University Stillwater;Syracuse University;University of Illinois Chicago;University of Maryland College Park;University of Texas Dallas;Texas A&M University College Station;University of Cincinnati;|Georgia State University;Oklahoma State University Stillwater;Syracuse University;University of Illinois Chicago;University of Maryland College Park;University of Texas Dallas;
New York University;University of Texas Dallas;Carnegie Mellon University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;Indiana University-Bloomington;|Carnegie Mellon University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;
Rose-Hulman Institute of Technology;University of Arkansas Fayetteville;|
Indiana University-Bloomington;|
University of Cincinnati;Oklahoma State University Stillwater;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Illinois Chicago;|Oklahoma State University Stillwater;SUNY Buffalo;Texas A&M University College Station;University of Arizona;University of Illinois Chicago;
|
|
SUNY Buffalo;Texas A&M University College Station;University of Arkansas Fayetteville;University of Maryland College Park;University of Nebraska Omaha;University of South Florida;University of Texas Dallas;|
